k,persistence,long_only,vol_weight,slippage,commission,max_dd,lambda_dd,lambda_turn,score_mean,score_std
1.0,8,False,True,0.0002,0.0,0.1,0.7,0.2,-0.015994642430832918,0.0022366586363041967
1.0,3,False,True,0.0001,0.0,0.1,0.7,0.2,-0.01739594833360318,0.004182365573428829
1.2,8,True,True,0.0001,0.0,0.1,0.7,0.2,-0.017587422853799196,0.006428877677591169
1.0,8,True,True,0.0001,0.0,0.1,0.7,0.2,-0.017790304092799945,0.002909549193948323
0.8,5,True,True,0.0002,0.0,0.1,0.7,0.2,-0.018909942004233446,0.004497301970089705
1.2,5,True,True,0.0001,0.0,0.1,0.7,0.2,-0.019030820987319914,0.0034795722422637744
0.8,8,True,True,0.0001,0.0,0.1,0.7,0.2,-0.019614432759716735,0.0070325886124793366
1.0,5,False,True,0.0002,0.0,0.1,0.7,0.2,-0.020356705613093974,0.005222407592619072
0.8,3,True,True,0.0002,0.0,0.1,0.7,0.2,-0.020695515322177487,0.006171705504518708
0.8,3,False,True,0.0001,0.0,0.1,0.7,0.2,-0.020992862854254536,0.007589018638039576
0.8,3,False,True,0.0001,0.0001,0.1,0.7,0.2,-0.02134342813421207,0.004302550829334507
1.0,5,True,True,0.0002,0.0,0.1,0.7,0.2,-0.021464992667201147,0.00621512806399801
0.8,8,False,True,0.0001,0.0,0.1,0.7,0.2,-0.02152568127682778,0.004769365023573761
1.2,3,False,True,0.0001,0.0,0.1,0.7,0.2,-0.021726596085369553,0.0035406632600431
1.0,8,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.022815796343444595,0.006785627824463869
1.2,8,False,True,0.0002,0.0,0.1,0.7,0.2,-0.022865909150184757,0.006888830897144489
0.8,8,False,True,0.0002,0.0,0.1,0.7,0.2,-0.02326586978530112,0.005361087105796081
1.0,8,True,True,0.0001,0.0001,0.1,0.7,0.2,-0.0234583062731237,0.004814118567795268
0.8,5,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.024751656105267292,0.0035595668494434757
0.8,8,False,True,0.0002,0.0001,0.1,0.7,0.2,-0.025127778386649334,0.005510499025716563
1.2,5,True,True,0.0002,0.0001,0.1,0.7,0.2,-0.02560558028408188,0.006089192546212296
